Name,Team,Sport,num_medals,Gold_Medals,Silver_Medals,Bronze_Medals
"Seyyed Shamseddin Seyyed Abbasi",Iran,Wrestling,1,0,0,1
"Maksim Andreyevich Shabalin",Russia-1,"Figure Skating",1,0,0,1
"Dmitry Alekseyevich Shabanov",Russia,Sailing,1,0,1,0
"Rafiga Makhmudovna Shabanova","Soviet Union",Handball,1,1,0,0
"John Thomas Shadden","United States",Sailing,1,0,0,1
"Erkin Maksudovich Shagayev","Soviet Union","Water Polo",1,1,0,0
"Shabban Shahab-ud-Din",India,Hockey,1,1,0,0
"Muhammad Shahbaz",Pakistan,Hockey,1,0,0,1
"Muhammad Shahid",India,Hockey,1,1,0,0
"Marina Vladimirovna Shainova",Russia,Weightlifting,1,0,1,0
"Franklin Bradford "Frank"" Shakespeare"","United States",Rowing,1,1,0,0
"Mykhailo Opanasovych Shakhov","Soviet Union",Wrestling,1,0,0,1
"Sergey Semyonovich Shakhray","Soviet Union-2","Figure Skating",1,0,1,0
"Dariga Shakimova",Kazakhstan,Boxing,1,0,0,1
"Yelena Vladimirovna Shalamova",Russia,"Rhythmic Gymnastics",1,1,0,0
"Viktor Ivanovich Shalimov","Soviet Union","Ice Hockey",1,1,0,0
"Yelena Yevgenyevna Shalygina",Kazakhstan,Wrestling,1,0,0,1
"Viktor Nikolayevich Shamburkin","Soviet Union",Shooting,1,1,0,0
"Volomymyr Volodymyrovych Shamenko",Ukraine,Gymnastics,1,0,0,1
"Xiaona Shan",Germany,"Table Tennis",1,0,1,0
"Brendan Frederick Shanahan",Canada,"Ice Hockey",1,1,0,0
"Nurmagomed Magomedsandovich Shanavazov","Soviet Union",Boxing,1,0,1,0
"Shang Chunsong",China,Gymnastics,1,0,0,1
"Joel Warren Shankle","United States",Athletics,1,0,0,1
"Eric Lee Shanteau","United States",Swimming,1,1,0,0
"Anton Igorevich Shantyr",Russia,Cycling,1,0,1,0
"Yuriy Pavlovych Shapochka","Soviet Union",Rowing,1,0,1,0
"Leonid Anatoliyovych Shaposhnykov",Ukraine,Rowing,1,0,0,1
"Mariya Yuryevna Sharapova",Russia,Tennis,1,0,1,0
"Abdullah Waleed Al-Sharbatly","Saudi Arabia",Equestrianism,1,0,0,1
"Rustam Khalimdzhanovych Sharipov","Unified Team",Gymnastics,1,1,0,0
"Jaman Lal Sharma",India,Hockey,1,0,1,0
"Samuel Henry "Sam"" Sharman"","United States",Shooting,1,1,0,0
"Lyubov Georgyevna Sharmay (Goncharova-)","Soviet Union",Basketball,1,1,0,0
"Yevgeny Konstantinovich Sharonov","Unified Team","Water Polo",1,0,0,1
"Konstantin Grigoryevich Sharovarov","Soviet Union",Handball,1,1,0,0
"Doug Sharp","United States-2",Bobsleigh,1,0,0,1
"Patrick Sharp",Canada,"Ice Hockey",1,1,0,0
"Ivan Gordon "Ivor"" Sharpe"","Great Britain",Football,1,1,0,0
"Anthony "Tony"" Sharpe"",Canada,Athletics,1,0,0,1
"Valery Petrovich Shary","Soviet Union",Weightlifting,1,1,0,0
"Gennady Ivanovich Shatkov","Soviet Union",Boxing,1,1,0,0
"Robert' Shavlaq'adze","Soviet Union",Athletics,1,1,0,0
"Sergey Dmitriyevich Shavlo","Soviet Union",Football,1,0,0,1
"Arthur Briggs "Art"" Shaw"","United States",Athletics,1,0,0,1
"Bryony Elisabeth Shaw","Great Britain",Sailing,1,0,0,1
"John Cameron Shaw",Australia,Sailing,1,1,0,0
"Timothy Andrew "Tim"" Shaw"","United States","Water Polo",1,0,1,0
"Georgy Ivanovich Shayduko",Russia,Sailing,1,0,1,0
"Tatyana Sergeyevna Shchelkanova","Soviet Union",Athletics,1,0,0,1
"Mikhail Anatolyevich Shchennikov",Russia,Athletics,1,0,1,0
"Leonid Mikhaylovich Shcherbakov","Soviet Union",Athletics,1,0,1,0
"Sergey Semyonovich Shcherbakov","Soviet Union",Boxing,1,0,1,0
"Lyudmila Ivanovna Shchetinina","Soviet Union",Volleyball,1,0,1,0
"Vladimir Borisovich Shchukin","Soviet Union",Gymnastics,1,0,1,0
"Roman Anatoliyovych Shchurenko",Ukraine,Athletics,1,0,0,1
"Charles Miller Sheaffer  Jr.","United States",Hockey,1,0,0,1
"Janet Lee "Jan"" Shearer (-Jones)"","New Zealand",Sailing,1,0,1,0
"Curtis Charles Shears","United States",Fencing,1,0,0,1
"Kathy Sheehy","United States","Water Polo",1,0,1,0
"Timothy Kane "Tim"" Sheehy"","United States","Ice Hockey",1,0,1,0
"Gillian Mary Sheen (-Donaldson)","Great Britain",Fencing,1,1,0,0
"Gordon M. "Gordy"" Sheer"","United States-1",Luge,1,0,1,0
"Gary Peter Sheerer","United States","Water Polo",1,0,0,1
"Ben M. Sheets","United States",Baseball,1,1,0,0
"Donald Alexander "Don"" Sheff"","United States",Swimming,1,1,0,0
"Frederick "Fred"" Sheffield"","United States",Rowing,1,1,0,0
"Abdullahi Shehu",Nigeria,Football,1,0,0,1
"Muhammad Zahid Sheikh",Pakistan,Hockey,1,0,1,0
"George Herbert Sheldon","United States",Diving,1,1,0,0
"Taras Oleksandrovych Shelestiuk",Ukraine,Boxing,1,0,0,1
"Sergey Vasilyevich Shelpakov","Soviet Union",Cycling,1,1,0,0
"Karen Christina Shelton (-Scroggs)","United States",Hockey,1,0,0,1
"Anatoly Ivanovich Shelyukhin","Soviet Union","Cross Country Skiing",1,0,0,1
"Vladimir Ilyich Shemetov","Soviet Union",Swimming,1,0,1,0
"Yana Volodymyrivna Shemiakina",Ukraine,Fencing,1,1,0,0
"Shen Jian",China,Gymnastics,1,0,1,0
"Shen Xue",China-3,"Figure Skating",1,0,0,1
"Sergey Mikhaylovich Shepelyev","Soviet Union","Ice Hockey",1,1,0,0
"Charles Woolley Shepherd",Wales-4,Hockey,1,0,0,1
"Dennis Graham Shepherd","South Africa",Boxing,1,0,1,0
"John James Shepherd","London City Police-1",Tug-Of-War,1,1,0,0
"Dorothy Cunliffe Shepherd-Barron","Great Britain-1",Tennis,1,0,0,1
"David Joseph "Dave"" Sheppard"","United States",Weightlifting,1,0,1,0
"Steven Bernard "Steve"" Sheppard"","United States",Basketball,1,1,0,0
"Patience Halsey Sherman","United States",Swimming,1,1,0,0
"William John "Billy"" Sherring"",Canada,Athletics,1,1,0,0
"Imran Ahmed Khan Sherwani","Great Britain",Hockey,1,1,0,0
"John Sherwood","Great Britain",Athletics,1,0,0,1
"Marina Igorevna Sheshenina",Russia,Volleyball,1,0,1,0
"Vladimir Zaripzyanovich Shestakov","Soviet Union",Judo,1,0,1,0
"Liudmyla Dmytrivna Shevchenko",Ukraine,Handball,1,0,0,1
"Yelena Nikolayevna Shevchenko","Soviet Union",Gymnastics,1,1,0,0
"Yury Anatolyevich Shevtsov","Soviet Union",Handball,1,1,0,0
"Tammy Lee Shewchuk (-Dryden)",Canada,"Ice Hockey",1,1,0,0
"Kyle Keith Shewfelt",Canada,Gymnastics,1,1,0,0
"Shi Guihong",China,Football,1,0,1,0
"Shi Jinglin",China,Swimming,1,0,0,1
"Shi Jingnan",China,"Short Track Speed Skating",1,0,0,1
"Ai Shibata",Japan,Swimming,1,1,0,0
"Ayano Shibuki (-Yaegashi)",Japan,Volleyball,1,1,0,0
"Thaddeus Rutter "Thad"" Shideler"","United States",Athletics,1,0,1,0
"Thomas Allen "Tom"" Shields"","United States",Swimming,1,1,0,0
"Mikaela Pauline Shiffrin","United States","Alpine Skiing",1,1,0,0
"Yumiko Shige",Japan,Sailing,1,0,1,0
"Yekaterina Vladimirovna Shikhova",Russia,"Speed Skating",1,0,0,1
"Nataliya Ivanovna Shikolenko","Unified Team",Athletics,1,0,1,0
"Jean Marie Shiley (-Newhouse)","United States",Athletics,1,1,0,0
"Boris Arsenyevich Shilkov","Soviet Union","Speed Skating",1,1,0,0
"Irina Olegovna Shilova","Soviet Union",Shooting,1,1,0,0
"Seiko Shimakage",Japan,Volleyball,1,0,1,0
"Vera Vladimirovna Shimanskaya",Russia,"Rhythmic Gymnastics",1,1,0,0
"Brian Lee Shimer","United States-2",Bobsleigh,1,0,0,1
"Keigo Shimizu",Japan,Swimming,1,0,0,1
"Naoyuki Shimizu",Japan,Baseball,1,0,0,1
"Reruhi Shimizu",Japan,"Ski Jumping",1,0,0,1
"Satoshi Shimizu",Japan,Boxing,1,0,0,1
"Shin Seung-Chan","South Korea-1",Badminton,1,0,0,1
"Michael Lyle "Mike"" Shine"","United States",Athletics,1,0,1,0
"Risa Shinnabe",Japan,Volleyball,1,0,0,1
"Shinichi Shinohara",Japan,Judo,1,0,1,0
"Yoko Shinozaki (-Tamura)",Japan,Volleyball,1,1,0,0
"Michiko Shiokawa (-Furuhashi)",Japan,Volleyball,1,0,1,0
"Nataliya Borisovna Shipilova",Russia,Handball,1,0,1,0
"Jerry Franklin Shipp","United States",Basketball,1,1,0,0
"Geoffrey Lloyd "Geoff"" Shipton"",Australia,Swimming,1,0,1,0
"Mamoru Shiragami",Japan,Volleyball,1,0,1,0
"Toshiko Shirasu-Aihara",Japan,Gymnastics,1,0,0,1
"Robert Alan "Bob"" Shirlaw"",Australia,Rowing,1,0,1,0
"Dorothy Ada Shirley (-Emerson)","Great Britain",Athletics,1,0,1,0
"Aleksandr Sergeyevich Shirshov","Unified Team",Fencing,1,1,0,0
"Olga Vasilyevna Shishigina (-Kutsakova)",Kazakhstan,Athletics,1,1,0,0
"Kunie Shishikura",Japan,Volleyball,1,0,1,0
"Nataliya Grigoryevna Shive-Glebova","Soviet Union","Speed Skating",1,0,0,1
"Marina Ivanovna Shkermankova",Belarus,Weightlifting,1,0,0,1
"Svetlana Vladimirovna Shkolina",Russia,Athletics,1,0,0,1
"Vladimir Petrovich Shkurikhin","Soviet Union",Volleyball,1,0,1,0
"Darya Valeryevna Shkurikhina",Russia,"Rhythmic Gymnastics",1,1,0,0
"Olha Dmytrivna Shkurnova (Pozdniakova-)","Soviet Union",Volleyball,1,1,0,0
"Yury Aleksandrovich Shlyapin","Soviet Union","Water Polo",1,0,0,1
"Vladimir Konstantinovich Shmelyov","Soviet Union","Modern Pentathlon",1,1,0,0
"Darya Mikhaylovna Shmelyova",Russia,Cycling,1,0,1,0
"Marina Konstantinovna Shmonina","Unified Team",Athletics,1,1,0,0
"Simon Shnapir","United States","Figure Skating",1,0,0,1
"Erik Thomas Shoji","United States",Volleyball,1,0,0,1
"Kawika Shoji","United States",Volleyball,1,0,0,1
"Toshio Shoji",Japan,Swimming,1,0,0,1
"Lindsay Shoop","United States",Rowing,1,1,0,0
"Ghada Shouaa",Syria,Athletics,1,1,0,0
"Ralph Samuel Shove","Great Britain",Rowing,1,0,1,0
"Stanley Howard Shoveller",England-1,Hockey,1,1,0,0
"Stanley Howard Shoveller","Great Britain",Hockey,1,1,0,0
"Dana Jayne Shrader (-Butler)","United States",Swimming,1,1,0,0
"Marley Lynn Shriver (-Tobian)","United States",Swimming,1,0,1,0
"Mikhail Alekseyevich Shtalenkov","Unified Team","Ice Hockey",1,1,0,0
"Mikhail Alekseyevich Shtalenkov",Russia,"Ice Hockey",1,0,1,0
"Margarita Shtarkelova",Bulgaria,Basketball,1,0,0,1
"Simeon Atanasov Shterev",Bulgaria,Wrestling,1,0,0,1
"Nikolina Pavlova Shtereva",Bulgaria,Athletics,1,0,1,0
"Ilya Anatolyevich Shtokalov",Russia,Canoeing,1,0,0,1
"Ivan Aleksandrovich Shtyl",Russia,Canoeing,1,0,0,1
"Olga Aleksandrovna Shtyrenko",Russia,"Rhythmic Gymnastics",1,0,0,1
"Lyudmila Yegorovna Shubina","Soviet Union",Handball,1,1,0,0
"Mariya Timofeyevna Shubina","Soviet Union",Canoeing,1,1,0,0
"Yelena Shubina","Unified Team",Swimming,1,0,0,1
"Shui Qingxia",China,Football,1,0,1,0
"Boris Khabalovich Shukhov","Soviet Union",Cycling,1,1,0,0
"Igor Yuryevich Shulepov",Russia,Volleyball,1,0,1,0
"Aleksey Vasilyevich Shumakov","Soviet Union",Wrestling,1,1,0,0
"Yekaterina Yevgenyevna Shumilova",Russia,Biathlon,1,0,1,0
"Sergey Borisovich Shupletsov",Russia,"Freestyle Skiing",1,0,1,0
"Yury Stepanovich Shurkalov","Soviet Union",Rowing,1,0,1,0
"Mariya Vladimirovna Shurochkina",Russia,"Synchronized Swimming",1,1,0,0
"John Shuster","United States",Curling,1,0,0,1
"Fyodor Vasilyevich Shutkov",Tornado,Sailing,1,1,0,0
"Lyubov Andreyevna Shutova",Russia,Fencing,1,0,0,1
"Andrey Mikhaylovich Shuvalov","Unified Team",Fencing,1,0,0,1
"Viktor Grigoryevich Shuvalov","Soviet Union","Ice Hockey",1,1,0,0
"Yelena Petrovna Shvaybovich (Ksenzhik-)","Unified Team",Basketball,1,1,0,0
"Aleksey Viktorovich Shved",Russia,Basketball,1,0,0,1
"Tatyana Ivanovna Shvyganova (-Nazirova)","Soviet Union",Hockey,1,0,0,1
"Carl Leslie Shy","United States",Basketball,1,1,0,0
"Yerkebulan Kurmakhanovich Shynaliyev",Kazakhstan,Boxing,1,0,0,1
"Tetiana Volodymyrivna Shynkarenko",Ukraine,Handball,1,0,0,1
"Si Tianfeng",China,Athletics,1,0,0,1
"Si Yajie",China,Diving,1,0,1,0
"John Ephraim "Jack"" Sibbit"","Great Britain",Cycling,1,0,1,0
"Andris ics",Latvia,Luge,1,0,0,1
"Juris ics",Latvia,Luge,1,0,0,1
"Sidnei "Sido"" dos Santos Junior"",Brazil,Volleyball,1,0,1,0
"Antonio Siddi",Italy,Athletics,1,0,0,1
"Rashid "Adul"" Sidek Mohamed"",Malaysia,Badminton,1,0,0,1
"Razif Haji "Ajib"" Sidek Mohamed"",Malaysia-2,Badminton,1,0,0,1
"Jalani Haji "Alan"" Sidek Mohamed"",Malaysia-2,Badminton,1,0,0,1
"Aleksandr Nikolayevich Sidelnikov","Soviet Union","Ice Hockey",1,1,0,0
"Cornelia Sideri",Romania,Canoeing,1,0,0,1
"Alyona Viktorovna Sidko",Russia,"Cross Country Skiing",1,0,0,1
"Tatyana Ivanovna Sidorenko","Soviet Union",Volleyball,1,1,0,0
"Nikolay Aleksandrovich Sidorov","Soviet Union",Athletics,1,1,0,0
"Mariya Igorevna Sidorova",Russia,Handball,1,0,1,0
"Tatyana Aleksandrovna Sidorova","Soviet Union","Speed Skating",1,0,0,1
"Janusz Jan Sido",Poland,Athletics,1,0,1,0
"Christoph Sieber",Austria,Sailing,1,1,0,0
"Erich Siebert",Germany,Wrestling,1,0,0,1
"Gloria Siebert (Kovarik-  Uibel-)","East Germany",Athletics,1,0,1,0
"Georg "Jrg"" Siebert"","West Germany",Rowing,1,1,0,0
"Klaus Siebert","East Germany",Biathlon,1,0,1,0
"Julio Christian Sieburger Hadler",Djinn,Sailing,1,0,1,0
"Enrique Conrado Sieburger Hadler  Sr.",Djinn,Sailing,1,0,1,0
"Birte Siech","East Germany",Rowing,1,1,0,0
"Birte Siech",Germany,Rowing,1,0,0,1
"Silvia Siefert (Heinrich-)","East Germany",Handball,1,0,1,0
"Olivier Floris Johannes Siegelaar",Netherlands,Rowing,1,0,0,1
"Siegrun Siegl (Thon-)","East Germany",Athletics,1,1,0,0
"Edward Victor Siegler","Central Turnverein, Chicago",Gymnastics,1,0,0,1
"Gnter Siegmund",Germany,Boxing,1,0,0,1
"Krzysztof Siemion",Poland,Weightlifting,1,0,1,0
"Laura Gail "Lauri"" Siering"","United States",Swimming,1,0,1,0
"Cezary Tadeusz Siess",Poland,Fencing,1,0,0,1
"Erwin Sietas",Germany,Swimming,1,0,1,0
"Ralf Sievers","West Germany",Football,1,0,0,1
"Jani Nikanor Sievinen",Finland,Swimming,1,0,1,0
"Lilli Margaretha Sigfridsson",Sweden,Curling,1,0,1,0
"Gujn Valur Sigursson",Iceland,Handball,1,0,1,0
"Sigfs Sigursson",Iceland,Handball,1,0,1,0
"Aukusti Sihvola",Finland,Wrestling,1,0,1,0
"Vin Villiam Siikaniemi (Siegberg-)",Finland,Athletics,1,0,1,0
"Hannu Juhani Siitonen",Finland,Athletics,1,0,1,0
"Alette Hilde Sijbring",Netherlands,"Water Polo",1,1,0,0
"Andrs Sike",Hungary,Wrestling,1,1,0,0
"Anton Tarielyevich Sikharulidze",Russia-2,"Figure Skating",1,0,1,0
"Anton Tarielyevich Sikharulidze",Russia-1,"Figure Skating",1,1,0,0
"Helena ikolov (-Balatkov)",Czechoslovakia,"Cross Country Skiing",1,0,0,1
"Tomasz Wacaw Sikora",Poland,Biathlon,1,0,1,0
"Annette Sikveland",Norway,Biathlon,1,0,0,1
"Valentin Silaghi",Romania,Boxing,1,0,0,1
"Ileana Silai (Gergely-)",Romania,Athletics,1,0,1,0
"Aleksandr Pavlovich Silayev","Soviet Union",Canoeing,1,0,1,0
"Johan Fredrik Siln",Heatherbell,Sailing,1,0,0,1
"Erik Jakob Silfverberg (Ekstrm-)",Sweden,"Ice Hockey",1,0,1,0
"Nils Otto Silfverskild",Sweden,Gymnastics,1,1,0,0
"Carl Johan Silfverstrand",Sweden,Gymnastics,1,1,0,0
"Olga ilhnov",Czechoslovakia,Gymnastics,1,1,0,0
"Harry Valfrid Siljander",Finland,Boxing,1,0,0,1
"David Mark "Dave"" Silk"","United States","Ice Hockey",1,1,0,0
"William Sylvester "Bill"" Silkworth"","United States",Shooting,1,1,0,0
"Mzahir Sille",Turkey,Wrestling,1,1,0,0
"Henrik Sillem",Netherlands,Shooting,1,0,0,1
"Lynn Silliman","United States",Rowing,1,0,0,1
"Michael Barnwell "Mike"" Silliman"","United States",Basketball,1,1,0,0
"Andrey Aleksandrovich Silnov",Russia,Athletics,1,1,0,0
"Alex Sandro da Silva",Brazil,Football,1,0,0,1
"Emanuel Eduardo Pimenta Vieira da Silva",Portugal,Canoeing,1,0,1,0
"Erlon de Souza Silva",Brazil,Canoeing,1,0,1,0
"Jacqueline Louise "Jackie"" da Cruz Silva"",Brazil-1,"Beach Volleyball",1,1,0,0
"Rafaela Lopes Silva",Brazil,Judo,1,1,0,0
"Rui Manuel Monteiro da Silva",Portugal,Athletics,1,0,0,1
"Yarisley Silva Rodrguez",Cuba,Athletics,1,0,1,0
"Edvaldo Valrio da Silva Filho",Brazil,Swimming,1,0,0,1
"Lauri Johannes Silvennoinen",Finland,"Cross Country Skiing",1,0,1,0
"Emily Susan Silver","United States",Swimming,1,0,1,0
"Marcelino Silverio Izaguirre Sorzabalbere",Spain,Football,1,0,1,0
"L. Jay Silvester","United States",Athletics,1,0,1,0
"Silvio "Silvinho"" Paiva"",Brazil,Football,1,0,1,0
"Anselmo Silvino",Italy,Weightlifting,1,0,0,1
"Sim Eun-Jeong","South Korea-1",Badminton,1,0,0,1
"Sim Jae-Hong","South Korea",Handball,1,0,1,0
"Irina Alekseyevna Simagina (-Meleshina)",Russia,Athletics,1,0,1,0
"John O'Connell Siman","United States","Water Polo",1,0,1,0
"Anastasiya Dmitriyevna Simanovich",Russia,"Water Polo",1,0,0,1
"David William "Dave"" Sime"","United States",Athletics,1,0,1,0
"George Brander Sime","Great Britain",Hockey,1,0,1,0
"Miroslav imek",Czechoslovakia-1,Canoeing,1,0,1,0
"Miroslav imek","Czech Republic-1",Canoeing,1,0,1,0
"Dubravko imenc",Yugoslavia,"Water Polo",1,1,0,0
"Dubravko imenc",Croatia,"Water Polo",1,0,1,0
"Zlatko imenc",Yugoslavia,"Water Polo",1,0,1,0
"Diego Pablo Simeone",Argentina,Football,1,0,1,0
"Roldano Simeoni",Italy,"Water Polo",1,0,1,0
"Kaspar Simeonov",Bulgaria,Volleyball,1,0,1,0
"Ventzislav Simeonov",Italy,Volleyball,1,0,1,0
"Judit Simics-Zsemberi",Hungary,Handball,1,0,1,0
"Adrian Simion",Romania,Handball,1,0,0,1
"Dorel Simion",Romania,Boxing,1,0,0,1
"Mircea Simion",Romania,Boxing,1,0,1,0
"Gheorghe Simionov",Romania,Canoeing,1,0,1,0
"Gian Simmen",Switzerland,Snowboarding,1,1,0,0
"Georgia Simmerling",Canada,Cycling,1,0,0,1
"Kerry Simmonds","United States",Rowing,1,1,0,0
"Charles Simmons","Great Britain",Gymnastics,1,0,0,1
"Coralie Denise Simmons","United States","Water Polo",1,0,1,0
"Heather Lee Simmons-Carrasco","United States","Synchronized Swimming",1,1,0,0
"Jos Edvar Simes",Brazil,Basketball,1,0,0,1
"Andrs Simn Gmez",Cuba,Athletics,1,0,0,1
"Harry Eugene Simon","United States",Shooting,1,0,1,0
"Hugo Simon",Austria,Equestrianism,1,0,1,0
"Jrgen Simon",Germany,Cycling,1,0,1,0
"Ladislau imon",Romania,Wrestling,1,0,0,1
"Lidia Elena imon (Slvueanu-)",Romania,Athletics,1,0,1,0
"Pl Simon",Hungary,Athletics,1,0,0,1
"Stefano Simoncelli",Italy,Fencing,1,0,1,0
"George Mieville Simond","Great Britain-2",Tennis,1,0,1,0
"Simone Gomes Jatob",Brazil,Football,1,0,1,0
"Mauro Simonetti",Italy,Cycling,1,0,0,1
"Noem Simonetto de Portela",Argentina,Athletics,1,0,1,0
"Anita Aline Simonis (-Zetts)","United States",Gymnastics,1,0,0,1
"Marko Simonovi",Serbia,Basketball,1,0,1,0
"Ann Simons",Belgium,Judo,1,0,0,1
"Nancy Joan Simons (-Peterson)","United States",Swimming,1,0,1,0
"Alexandra Simons de Ridder",Germany,Equestrianism,1,1,0,0
"Mikael Simonsen","Polyteknisk Roklub-1",Rowing,1,0,0,1
"Rudolf Hermann Simonsen",Denmark,"Art Competitions",1,0,0,1
"Nikita Pogosovich Simonyan","Soviet Union",Football,1,1,0,0
"Charles "Charlie"" Simpkins"","United States",Athletics,1,0,1,0
"George Sidney Simpson","United States",Athletics,1,0,1,0
"Harold Alfred "Hack"" Simpson"",Canada,"Ice Hockey",1,1,0,0
"Janet Mary Simpson (-Clerc)","Great Britain",Athletics,1,0,0,1
"Juliene Simpson (Brazinski-)","United States",Basketball,1,0,1,0
"Thomas "Tom"" Simpson"","Great Britain",Cycling,1,0,0,1
"William "Will"" Simpson"","United States",Equestrianism,1,1,0,0
"Kenan imek",Turkey,Wrestling,1,0,1,0
"Sin A-Lam","South Korea",Fencing,1,0,1,0
"Sin Jun-Seop","South Korea",Boxing,1,1,0,0
"Sin Jun-Sik","South Korea",Taekwondo,1,0,1,0
"Sin Yeong-Seok","South Korea",Handball,1,0,1,0
"Seth Muenfuh Sincere",Nigeria,Football,1,0,0,1
"William Alexander "Alex"" Sinclair"",Canada,"Ice Hockey",1,0,1,0
"Jaromr indel",Czechoslovakia,"Ice Hockey",1,0,1,0
"Harold James "Harry"" Sinden"",Canada,"Ice Hockey",1,0,1,0
"Pusarla Venkata "P. V."" Sindhu"",India,Badminton,1,0,1,0
"Peter Andreas Holger Sinding-Larsen",Norway,"Art Competitions",1,0,1,0
"Heike Singer (-Klein)","East Germany",Canoeing,1,1,0,0
"Bakshish Sandhu Singh",India,Hockey,1,1,0,0
"Balkrishan Singh Grewal",India,Hockey,1,1,0,0
"Darshan Singh Kular",India,Hockey,1,1,0,0
"Devinder Singh",India,Hockey,1,1,0,0
"Dharam Singh",India,Hockey,1,1,0,0
"Inder "Gogi"" Singh"",India,Hockey,1,0,0,1
"Gurdev Singh Kular",India,Hockey,1,1,0,0
"Gurmail Singh",India,Hockey,1,1,0,0
"Harcharan Singh",India,Hockey,1,0,0,1
"Hardyal Singh Garchey",India,Hockey,1,1,0,0
"Jaipal Singh Munda",India,Hockey,1,1,0,0
"Jaswant Singh",India,Hockey,1,0,1,0
"Kulwant Singh",India,Hockey,1,0,0,1
"Mukhbain Singh",India,Hockey,1,0,0,1
"Rajinder Singh",India,Hockey,1,1,0,0
"Ravinder Pal Singh",India,Hockey,1,1,0,0
"Tarsem Singh Kular",India,Hockey,1,0,0,1
"Varinder Singh",India,Hockey,1,0,0,1
"Vijender Kumar Singh",India,Boxing,1,0,0,1
"Tarlochan Singh Bawa",India,Hockey,1,1,0,0
"Dharam Singh Gill",India,Hockey,1,1,0,0
"Gurcharan Singh Grewal",India,Hockey,1,1,0,0
"Surinder Singh Sodhi Shokar",India,Hockey,1,1,0,0
"Karin Irene Singstad (-Vidal)",Norway,Handball,1,0,1,0
"Nataliya Siniin",Azerbaijan,Wrestling,1,0,0,1
"Rene (Renate Alice-) Sintenis (-Weiss)",Germany,"Art Competitions",1,0,0,1
"Gildo Siorpaes",Italy-2,Bobsleigh,1,0,0,1
"Sergio Emmerico Siorpaes",Italy-1,Bobsleigh,1,0,0,1
"Sergio Emmerico Siorpaes",Italy-2,Bobsleigh,1,0,0,1
"Elis Esaias Sipil",Finland,Gymnastics,1,0,0,1
"Vin Jeremias Sipil",Finland,Athletics,1,1,0,0
"Matti Kalervo Sippala",Finland,Athletics,1,0,1,0
"Maicon de Andrade Siqueira",Brazil,Taekwondo,1,0,0,1
"Petko Atanasov Sirakov",Bulgaria,Wrestling,1,0,1,0
"Nikolaos Siranidis",Greece,Diving,1,1,0,0
"Iosif Srbu",Romania,Shooting,1,1,0,0
"Nicolae Alexandru Sirieanu",Romania,Fencing,1,0,1,0
"Hannes Rikhard Sirola (Sirn-)",Finland,Gymnastics,1,0,1,0
"Saija Katariina Sirvi-Tarkki",Finland,"Ice Hockey",1,0,0,1
"Ramnas ikauskas",Lithuania,Basketball,1,0,0,1
"Guivi "Gia"" Sissaouri"",Canada,Wrestling,1,0,1,0
"Peter Sitt","West Germany",Swimming,1,0,0,1
"Kenneth Robert "Ken"" Sitzberger"","United States",Diving,1,1,0,0
"Hanna Oleksandrivna Siukalo",Ukraine,Handball,1,0,0,1
"Sergey Aleksandrovich Sivko","Soviet Union",Boxing,1,0,1,0
"Anna Vitalyevna Sivkova",Russia,Fencing,1,1,0,0
"Andr Jules Henri Six",France,Swimming,1,0,1,0
"Janet Theresa "Jane"" Sixsmith (-Beeton)"","Great Britain",Hockey,1,0,0,1
"Curt Josef Sjberg",Sweden,Gymnastics,1,1,0,0
"Gustav-Adolf Sjberg",Sweden,Shooting,1,0,1,0
"Maria Johanna Sjberg",Sweden,Swimming,1,0,0,1
"Paul Leonard Sjberg",Ralia,Sailing,1,0,0,1
"Axel Erland Sjblad",Sweden,Handball,1,0,1,0
"Axel Adolf Sjblom",Sweden,Gymnastics,1,1,0,0
"Ivar Sven Lennart Sjlin",Sweden,Wrestling,1,0,1,0
"Stig Karl Olof Sjlin",Sweden,Boxing,1,0,0,1
"Lala Valborg Sjqvist (-Larsson)",Sweden,Diving,1,0,0,1
"Johan Charlie Sjstrand",Sweden,Handball,1,0,1,0
"Tore Ingemar Sjstrand",Sweden,Athletics,1,1,0,0
"Robert Emanuel Sjursen (-Rafto)",Norway,Gymnastics,1,1,0,0
"Eivind Halfdan Skabo",Norway,Canoeing,1,0,0,1
"Tetiana Viktorivna Skachko (Pakhovska-)","Soviet Union",Athletics,1,0,0,1
"Khalid Skah",Morocco,Athletics,1,1,0,0
"Nataliya Anatolivna Skakun",Ukraine,Weightlifting,1,1,0,0
"Oksana Valentynivna Skaldina (-Svatkovskiy)","Unified Team","Rhythmic Gymnastics",1,0,0,1
"Igor Anatolyevich Skalin",Russia,Sailing,1,0,1,0
"Petar Skansi",Yugoslavia,Basketball,1,0,1,0
"Ladislav kantr",Slovakia,Canoeing,1,1,0,0
"Peter kantr",Slovakia,Canoeing,1,1,0,0
"Zdenk kra",Czechoslovakia,Handball,1,0,1,0
"Halldor Skard  Jr.",Norway,"Nordic Combined",1,1,0,0
"Nadezhda Valeryevna Skardino",Belarus,Biathlon,1,0,0,1
"Konstantinos Skarlatos",Greece,Shooting,1,1,0,0
"Damir karo",Yugoslavia,Boxing,1,0,0,1
"Jaroslav karvan",Czechoslovakia,Handball,1,0,1,0
"Robert Danforth "Bob"" Skelton"","United States",Swimming,1,1,0,0
